pathway_id	pathway_name	genes
R-HSA-9672383	Defective factor IX causes thrombophilia	P00451,P00740,P00742
R-HSA-9672387	Defective F8 accelerates dissociation of the A2 domain	P00451
R-HSA-9672391	Defective F8 cleavage by thrombin	P00451,P00734,P04275
R-HSA-9672393	Defective F8 binding to von Willebrand factor	P00451,P04275
R-HSA-9672395	Defective F8 binding to the cell membrane	P00451
R-HSA-9672396	Defective cofactor function of FVIIIa variant	P00451,P00740,P00742
R-HSA-9672397	Defective F8 secretion	P00451
R-HSA-9673202	Defective F9 variant does not activate FX	P00451,P00740,P00742
R-HSA-70635	Urea cycle	P00480,P00966,P04424,P05089,P31327,P78540,Q8N159,Q9BXI2,Q9HBL8,Q9Y619
R-HSA-74217	Purine salvage	P00491,P00492,P00813,P07741,P23109,P27707,P36959,P55263,Q01432,Q01433,Q16854,Q6DHV7,Q9P2T1
R-HSA-9735763	Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine	P00491
R-HSA-9734281	Defective HPRT1 disrupts guanine and hypoxanthine salvage	P00492
R-HSA-1614558	Degradation of cysteine and homocysteine	P00505,P25325,P32929,Q01740,Q16762,Q16878,Q6ZQY3,Q96SZ5,Q99757,Q9Y600
R-HSA-389661	Glyoxylate metabolism and glycine degradation	P00505,P14920,P21549,P30038,Q14749,Q86XE5,Q99489,Q9BYV1,Q9NR77,Q9UBQ7,Q9UF12,Q9UJM8
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	P00533,P01111,P01112,P01116-1,P01116-2,P01133,P07900,P0CG47,P0CG48,P19174,P22681,P27986,P29353,P42336,P62979,P62987,P62993-1,Q07889,Q13480,Q16543
R-HSA-1251932	PLCG1 events in ERBB2 signaling	P00533,P01133,P04626,P19174
R-HSA-2179392	EGFR Transactivation by Gastrin	P00533,P01111,P01112,P01116-1,P01116-2,P08254,P08254,P17252,P62993-1,Q07889,Q99075,Q99075
R-HSA-5637810	Constitutive Signaling by EGFRvIII	P00533,P01111,P01112,P01116-1,P01116-2,P01133,P07900,P19174,P22681,P27986,P29353,P42336,P62993-1,Q07889,Q13480,Q16543
R-HSA-8857538	PTK6 promotes HIF1A stabilization	P00533,Q13882,Q14956,Q16665,Q5S007,Q99075
R-HSA-8866910	TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	P00533,P01135,P01215,P03372,P04626,P05549,P0DN86,P10721,P15692,P25490,Q6PL18,Q92481,Q92754
R-HSA-9665348	Signaling by ERBB2 ECD mutants	P00533,P01111,P01112,P01116-1,P01116-2,P01133,P04626,P07900,P19174,P27986,P29353,P42336,P62993-1,Q07889,Q13480,Q16543,Q96RT1
R-HSA-9636667	Manipulation of host energy metabolism	P00558,P06733,P9WNK7
R-HSA-5336415	Uptake and function of diphtheria toxin	P00588,P07900,P08238,P13639,P21926,Q16881,Q99075
R-HSA-5653890	Lactose synthesis	P00709,P11166,P15291
R-HSA-159740	Gamma-carboxylation of protein precursors	P00734,P00740,P00742,P02818,P04070,P07225,P08709,P22891,P38435,P38435,Q14393
R-HSA-159763	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	P00734,P00740,P00742,P02818,P04070,P07225,P08709,P22891,Q14393
R-HSA-159782	Removal of aminoterminal propeptides from gamma-carboxylated proteins	P00734,P00740,P00742,P02818,P04070,P07225,P08709,P09958,P22891,Q14393
R-HSA-76009	Platelet Aggregation (Plug Formation)	P00734,P02452,P04275,P07359,P08123,P13224,P14770,P40197,P40225,P40238
R-HSA-9657688	Defective factor XII causes hereditary angioedema	P00734,P00748,P03952
R-HSA-140834	Extrinsic Pathway of Fibrin Clot Formation	P00740,P00742,P08709,P10646,P13726
R-HSA-9673218	Defective F9 secretion	P00740
R-HSA-9673221	Defective F9 activation	P00740,P03951,P07359,P13224,P14770,P40197
R-HSA-9673240	Defective gamma-carboxylation of F9	P00740,P38435
R-HSA-173736	Alternative complement activation	P00746,P00751,P01024,P27918,P51124
R-HSA-75205	Dissolution of Fibrin Clot	P00747,P00749,P00750,P04196,P05120,P05121,P07093,P07355,P08697,P35237,P50452,P60903,Q03405
R-HSA-9657689	Defective SERPING1 causes hereditary angioedema	P00748,P03952,P05155
R-HSA-174577	Activation of C3 and C5	P00751,P01024,P01031,P06681,P0C0L4,P0C0L5,P27918
R-HSA-9734735	Defective ADA disrupts (deoxy)adenosine deamination	P00813
R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen	P00915,P00918,P02730,P22748,P29972,P68871,P69905,Q02094,Q6BCY4,Q6IPT4,Q7L1T6,Q9UHQ9
R-HSA-1247673	Erythrocytes take up oxygen and release carbon dioxide	P00915,P00918,P02730,P22748,P29972,P68871,P69905,Q02094
R-HSA-166665	Terminal pathway of complement	P01031,P02748,P07357,P07358,P07360,P10643,P10909,P13671
R-HSA-9839383	TGFBR3 PTM regulation	P01033,P16035,P49768,P49810,P50281,P51512,Q03167,Q8WW43,Q92542,Q96BI3,Q9NZ42
R-HSA-450341	Activation of the AP-1 family of transcription factors	P01100,P05412,P15336,P27361,P28482,P45983,P45984,P53779,Q15759,Q16539
R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	P01106,P11388,P12004,P28749,P28749,P30304,P61244,Q01094,Q01094,Q08999,Q08999,Q09028,Q09028,Q13547,Q14186,Q14186,Q14188,Q14188,Q15329,Q15329,Q16254,Q16254,Q52LA3,Q52LA3,Q5TKA1,Q5TKA1,Q6MZP7,Q6MZP7,Q96GY3,Q96GY3,Q99741
R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters	P01106,P35222,P36402,Q13761,Q9HCS4,Q9NQB0,Q9UJU2,Q9Y2T1
R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	P01106,P06400,P20248,P24941,P30291,P30304,P30305,P31749,P31751,P38936,P46527,P50613,P51946,P51948,P61244,P78396,Q01094,Q08999,Q09028,Q14186,Q14188,Q15329,Q16254,Q52LA3,Q5TKA1,Q6MZP7,Q8TDN4,Q96GY3,Q9UM11,Q9Y243
R-HSA-8866911	TFAP2 (AP-2) family regulates transcription of cell cycle factors	P01106,P05549,P38936,Q92754,Q9UGL1
R-HSA-8951430	RUNX3 regulates WNT signaling	P01106,P24385,P35222,P36402,Q13761,Q9HCS4,Q9NQB0,Q9UJU2
R-HSA-112412	SOS-mediated signalling	P01111,P01112,P01116-1,P01116-2,P35568,P35568,P62993-1,P62993-1,Q07889,Q07889,Q9Y4H2,Q9Y4H2
R-HSA-167044	Signalling to RAS	P01111,P01112,P01116-1,P01116-2,P01138,P04629,P29353,P29353,P62993-1,P62993-1,P98077,P98077,Q07889,Q07889,Q92529,Q92529
R-HSA-2428933	SHC-related events triggered by IGF1R	P01111,P01112,P01116-1,P01116-2,P01344,P05019,P08069,P29353-1,P29353-1,P29353-2,P29353-2,P29353-3,P29353-3,P62993-1,P62993-1,Q07889,Q07889
R-HSA-5655291	Signaling by FGFR4 in disease	P01111,P01112,P01116-1,P01116-2,P19174,P22455,P27986,P42336,P62993-1,Q07889,Q13480,Q8WU20
R-HSA-5674135	MAP2K and MAPK activation	P01111,P01112,P01116-1,P01116-2,P02671,P02675,P02679,P02751,P04049,P04275,P05106,P08514,P10398,P12931,P15056,P18206,P27361,P27448,P28482,P30086,P31946,P32121,P36507,P41240,P46940,P49407,P60709,P61224,P62834,P63261,Q02750,Q6VAB6,Q7Z5R6,Q8IVT5,Q8NFM7,Q8WXI2,Q969H4,Q9BRX9,Q9UHA4,Q9Y2Q5,Q9Y490
R-HSA-5675221	Negative regulation of MAPK pathway	P01111,P01112,P01116-1,P01116-2,P04049,P0CG47,P0CG48,P10398,P15056,P26045,P27361,P27448,P28482,P28562,P30086,P30153,P30154,P31946,P35236,P53041,P53778,P62714,P62979,P62987,P67775,Q05923,Q13115,Q13202,Q13362,Q14738,Q15172,Q15173,Q16537,Q16690,Q16828,Q16829,Q6TCH7,Q7Z569,Q8IVT5,Q99956,Q9BY84,Q9Y6W6
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	P01111,P01112,P01116-1,P01116-2,P02671,P02675,P02679,P02751,P04049,P04275,P05106,P08514,P10398,P12931,P15056,P18206,P27361,P27448,P28482,P30086,P31946,P32121,P36507,P41240,P46940,P49407,P60709,P61224,P62834,P63261,Q02750,Q6VAB6,Q7Z5R6,Q8IVT5,Q8WXI2,Q969H4,Q9Y490
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	P01111,P01112,P01116-1,P01116-2,P21359,Q2MJR0,Q7Z698,Q7Z699
R-HSA-74751	Insulin receptor signalling cascade	P01111,P01112,P01116-1,P01116-2,P01308,P06213,P29353,P29353,P62993-1,P62993-1,Q07889,Q07889,Q13322
R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	P01111,P01112,P01116-1,P01116-2,P20936,P46108,P49023,P56945,P61586,P63000,Q13882,Q14185,Q92556,Q96JJ3,Q9NRY4
R-HSA-8851805	MET activates RAS signaling	P01111,P01112,P01116-1,P01116-2,P08581,P14210,P29353-2,P62993-1,Q07889,Q6VN20,Q8N307,Q96S59
R-HSA-9026519	Activated NTRK2 signals through RAS	P01111,P01112,P01116-1,P01116-2,P23560,P29353-2,P29353-3,P34130,P62993-1,Q07889,Q16620
R-HSA-9034864	Activated NTRK3 signals through RAS	P01111,P01112,P01116-1,P01116-2,P20783,P29353-2,P29353-3,P62993-1,Q07889,Q16288
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	P01111,P01112,P01116-1,P01116-2,P04626,P07900,P29353,P62993-1,Q05209,Q07889,Q16543,Q96RT1
R-HSA-9703465	Signaling by FLT3 fusion proteins	P01111,P01112,P01116-1,P01116-2,P11309,P27986,P27986,P38936,P41212,P41212,P42229,P42336,P51692,P62993-1,P62993-1,Q01082,Q01082,Q07889,Q14789,Q14789,Q15643,Q15643,Q92614,Q92614,Q9NPH5,Q9UBW7,Q9UBW7,Q9UQC2,Q9UQC2
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	P01111,P01112,P01116-1,P01116-2,P27986,P27986,P36888,P36888,P42336,P62993,P62993,Q06124,Q07889,Q9UQC2,Q9UQC2
R-HSA-9753510	Signaling by RAS GAP mutants	P01111,P01112,P01116
R-HSA-9753512	Signaling by RAS GTPase mutants	P01111,P01112,P01116
R-HSA-8951936	RUNX3 regulates p14-ARF	P01116,P01137,P24385,P25440,P56524,Q01196,Q09472,Q13761,Q13951
R-HSA-8964026	Chylomicron clearance	P01130,P01130,P02649,P02649,P04114,P04114,P11150,Q5SW96
R-HSA-168277	Influenza Virus Induced Apoptosis	P01137,P03468,P0C0U1,P12236
R-HSA-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	P01137,P01137,P0CG47,P0CG48,P36897,P36897,P37173,P37173,P61586,P61586,P62942,P62979,P62987,Q05513,Q05513,Q6ZSZ5,Q6ZSZ5,Q8TEW0,Q8TEW0,Q9HCE7,Q9NPB6,Q9NPB6,Q9P2M7,Q9P2M7,Q9Y624,Q9Y624
R-HSA-3642279	TGFBR2 MSI Frameshift Mutants in Cancer	P01137,P37173
R-HSA-3645790	TGFBR2 Kinase Domain Mutants in Cancer	P01137,P36897,P37173
R-HSA-3656535	TGFBR1 LBD Mutants in Cancer	P01137,P36897,P37173,P62942
R-HSA-8941855	RUNX3 regulates CDKN1A transcription	P01137,P04637,P38936,P84022,Q13485,Q13761,Q15911
R-HSA-167021	PLC-gamma1 signalling	P01138,P04629,P19174
R-HSA-167060	NGF processing	P01138,P01138,P09958,P29122,Q92824
R-HSA-170968	Frs2-mediated activation	P01138,P01138,P04629-1,P04629-1,P15056,P15056,P27361,P28482,P31946,P31946,P36507,P46109,P46109,P62834,P62834,Q02750,Q13905,Q13905,Q8WU20,Q8WU20
R-HSA-170984	ARMS-mediated activation	P01138,P01138,P04629,P04629,P15056,P31946,P46108,P46108,P62834,P62834,Q9ULH0,Q9ULH0
R-HSA-187042	TRKA activation by NGF	P01138,P01138,P04629-1,P04629,P04629
R-HSA-187706	Signalling to p38 via RIT and RIN	P01138,P04629,P15056,Q92963,Q99578
R-HSA-198745	Signalling to STAT3	P01138,P04629,P40763
R-HSA-205017	NFG and proNGF binds to p75NTR	P01138,P08138,Q17R88
R-HSA-205025	NADE modulates death signalling	P01138,P08138,P42574,P42575,P62258,Q00994
R-HSA-205043	NRIF signals cell death from the nucleus	P01138,P01138,P08138,P08138,P0CG47,P0CG48,P45983,P49768,P49810,P62979,P62987,Q13352,Q13352,Q13501,Q8WW43,Q92542,Q96BI3,Q9NZ42,Q9Y4K3,Q9Y4K3
R-HSA-209563	Axonal growth stimulation	P01138,P08138,P52565,P61586
R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	P01160,P28347,P29279,P43694,P46937,P52952,Q13950-1,Q13950-2,Q15561,Q15562,Q86Z02,Q92831,Q99593,Q99594,Q9GZV5,Q9GZV5,Q9H2X6
R-HSA-5578768	Physiological factors	P01160,P08473,P16066,P20594,P23141,P23582,P43694,P52952,Q86Z02,Q92831,Q99593,Q9GZV5,Q9H2X6,Q9Y5Q5
R-HSA-388479	Vasopressin-like receptors	P01178,P01185,P30518,P30559,P37288,P47901
R-HSA-5619099	Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)	P01185,P37288,P47901
R-HSA-9036092	Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)	P01185,P30518
R-HSA-111885	Opioid Signalling	P01189,P01213,P35372
R-HSA-193048	Androgen biosynthesis	P01189,P01215,P01229,P05093,P14060,P18405,P26439,P31213,P37058,Q53GQ0,Q9H8P0
R-HSA-194002	Glucocorticoid biosynthesis	P01189,P05093,P08185,P08686,P14060,P15538,P19099,P26439,P28845,P80365
R-HSA-209952	Peptide hormone biosynthesis	P01189,P29120
R-HSA-5579031	Defective ACTH causes obesity and POMCD	P01189,Q01718
R-HSA-193993	Mineralocorticoid biosynthesis	P01215,P01229,P08686,P14060,P19099,P26439
R-HSA-209822	Glycoprotein hormones	P01215,P01222,P01225,P01229,P05111,P08476,P09529,P0DN86,P55103,P58166
R-HSA-209968	Thyroxine biosynthesis	P01215,P01222,P07202,Q6PHW0,Q92911,Q9NRD8,Q9NRD9
R-HSA-74713	IRS activation	P01308,P06213,P35568,Q13322,Q9Y4H2
R-HSA-74749	Signal attenuation	P01308,P06213,P27361,P28482,P29353,P35568,P62993-1,Q07889,Q13322,Q9Y4H2
R-HSA-74752	Signaling by Insulin receptor	P01308,P06213
R-HSA-881907	Gastrin-CREB signalling pathway via PKC and MAPK	P01350,P16220-1,P27361,P28482,P32239,P51812,Q13164,Q15349,Q15418
R-HSA-8942233	Intestinal infectious diseases	P01559,P25092,Q86UT5
R-HSA-8877330	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	P01579,P01589,P16410,P17927,P60568,Q01196,Q13469,Q13951,Q9BZS1,Q9Y5U5
R-HSA-448706	Interleukin-1 processing	P01583,P01584,P08311,P19838,P29466,P57764,Q00653,Q04206,Q14116
R-HSA-5660668	CLEC7A/inflammasome pathway	P01584,P19838,Q04206,Q14790,Q9UDY8,Q9ULZ3
R-HSA-1234158	Regulation of gene expression by Hypoxia-inducible Factor	P01588,P15692,P27540,Q09472,Q16665,Q16790,Q92793,Q99814,Q99967,Q9Y241,Q9Y2N7-1
R-HSA-9020558	Interleukin-2 signaling	P01589,P06239,P14784,P23458,P29353,P31785,P42229,P42229,P43405,P51692,P51692,P52333,P60568,Q14289
R-HSA-1462054	Alpha-defensins	P01730,P04578,P07478,P12838,P35030,P52961,P59665,P59666,Q01523,Q01524
R-HSA-173107	Binding and entry of HIV virion	P01730,P04578,P04585,P04591,P04601,P04618,P05919,P51681,P61073,P62937,P69723,P69726
R-HSA-449836	Other interleukin signaling	P01730,P07333,P09603,P09919,P18827,P23458,P23471,P24001,P24158,P29597,P40222,P42574,P60880,P63027,Q08334,Q12846,Q13277,Q14005,Q15833,Q16623,Q6ZMJ4,Q8IU54,Q8IU57,Q99062
R-HSA-8981607	Intracellular oxygen transport	P02144,Q8WWM9,Q9NPG2
R-HSA-1474244	Extracellular matrix organization	P02452,P02458,P02461,P02462,P02751,P05997,P08123,P08572,P20908,P25940,P29400,P53420,Q01955,Q02388,Q14031
R-HSA-3000480	Scavenging by Class A Receptors	P02452,P02461,P02462,P02647,P02647,P02649,P02649,P02792,P02794,P04114,P04114,P08123,P08572,P14625,P14625,P21757,P21757,P27797,P27797,P48740,Q5KU26,Q6ZMJ2,Q96PL1,Q96PL1,Q9BWP8,Q9UEW3,Q9UEW3
R-HSA-430116	GP1b-IX-V activation signalling	P02452,P04049,P04275,P07359,P08123,P12931-1,P13224,P14770,P21333,P27986,P40197,P63104
R-HSA-9845619	Enhanced cleavage of VWF variant by ADAMTS13	P02452,P04275,P08123,Q76LX8
R-HSA-9845620	Enhanced binding of GP1BA variant to VWF multimer:collagen 	P02452,P04275,P07359,P08123,P13224,P14770,P40197
R-HSA-9845621	Defective VWF cleavage by ADAMTS13 variant	P02452,P04275,P08123,Q76LX8
R-HSA-9845622	Defective VWF binding to collagen type I 	P02452,P04275,P08123
R-HSA-9846298	Defective binding of VWF variant to GPIb:IX:V	P02452,P04275,P07359,P08123,P13224,P14770,P40197
R-HSA-446107	Type I hemidesmosome assembly	P02533,P13647,P16144,P23229,P48509,Q03001,Q13751,Q13753,Q15149,Q16787,Q9UMD9
R-HSA-352238	Breakdown of the nuclear lamina	P02545-1,P20700,P55212
R-HSA-1369062	ABC transporters in lipid homeostasis	P02647,P28288,P33897,P40855,P45844,P56589,Q86UK0,Q8IUA7,Q8IZY2,Q8N139,Q8WWZ4,Q8WWZ7,Q99758,Q9BZC7,Q9H172,Q9H221,Q9H222,Q9UBJ2
R-HSA-8963888	Chylomicron assembly	P02647,P02649,P02652,P02655,P02656,P04114,P06727,P07237,P55157,Q9Y6B6
R-HSA-8963901	Chylomicron remodeling	P02647,P02649,P02652,P02655,P02656,P04114,P06727,P06858,Q6Q788,Q8IV16
R-HSA-8964058	HDL remodeling	P02647,P02649,P02655,P02656,P02768,P04180,P11597,P45844,P55058-1,P55058-2,Q9Y5X9
R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	P02649,P05549,P35659
R-HSA-8866423	VLDL assembly	P02654,P04114,P07237,P55056,P55157
R-HSA-8964046	VLDL clearance	P02654,P02654,P04114,P04114,P55056,P55056,P98155,Q0VD83,Q86X29
R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	P02671,P02675,P02679,P02751,P04275,P05106,P08514,P12931,P61224,P62834,P62993-1,Q05397,Q07889,Q7Z5R6,Q9Y490
R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	P02671,P02675,P02679,P02751,P04275,P05106,P08514,P12931,P46108,P56945,P61224,P62834,Q05397,Q7Z5R6,Q9Y490
R-HSA-9619665	EGR2 and SOX10-mediated initiation of Schwann cell myelination	P02686,P04035,P07942,P11047,P11161,P11161,P20265,P20916,P24043,P25189,P28347,P46937,P46939,P51532,P51532,P56693,P56693,Q01453,Q03052,Q12772,Q13474,Q13506,Q14118,Q15742,Q16850,Q86SK9,Q86SQ4,Q8WXG9,Q92769,Q92769,Q9BXM0-1,Q9BXM0,Q9GZV5
R-HSA-629594	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	P02708,P17787,P30532,P30926,P32297,P36544,P43681,Q05901,Q15822,Q15825,Q9UGM1
R-HSA-629597	Highly calcium permeable nicotinic acetylcholine receptors	P02708,P17787,P30532,P30926,P32297,P43681,Q05901,Q15822,Q15825
R-HSA-425381	Bicarbonate transporters	P02730,P04920,P48751,Q2Y0W8,Q6U841,Q96HN2,Q96Q91,Q9BY07,Q9Y6M7,Q9Y6R1
R-HSA-5619050	Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)	P02730
R-HSA-1566977	Fibronectin matrix formation	P02751,P05556,P08648,P13688,P31997,P40199
R-HSA-6809583	Retinoid metabolism disease events	P02753
R-HSA-9918449	Defective visual phototransduction due to STRA6 loss of function	P02753,P02766,Q9BX79
R-HSA-189451	Heme biosynthesis	P02768,P06132,P08397,P10746,P13196,P13716,P22557,P22830,P36551,P50336,Q12887,Q7KZN9,Q9UNQ0,Q9Y5Y0-1,Q9Y5Y0-2
R-HSA-1222449	Mtb iron assimilation by chelation	P02788,P9WL31,P9WL31,P9WNE5,P9WPQ9,P9WQJ7,P9WQJ7,P9WQJ9,P9WQJ9
R-HSA-6799990	Metal sequestration by antimicrobial proteins	P02788,P05109,P06702,P31151,P80188,Q86SG5
R-HSA-5661231	Metallothioneins bind metals	P02795,P02795,P04731,P04731,P04732,P04733,P07438,P13640,P25713,P25713,P47944,P80294,P80297,Q8N339
R-HSA-8939211	ESR-mediated signaling	P03372,P07900,P08238,P27361,P28482,P53041,Q02790,Q08752,Q13451,Q15185,Q92731
R-HSA-5621480	Dectin-2 family	P03375,P03377,P03378,P04578,P04579,P04580,P04581,P04582,P04583,P04624,P05877,P05878,P05879,P05880,P05881,P05882,P06241,P07948,P12487,P12488,P12489,P12490,P12491,P15941,P16885,P16885,P18799,P19549,P19550,P19551,P20871,P20888,P30273,P30273,P31819,P31872,P35961,P43405,P43405,P98088,Q02505,Q02817,Q5SSG8,Q685J3,Q6EIG7,Q6EIG7,Q6W4X9,Q70626,Q7Z5P9,Q8IUN9,Q8N307,Q8N387,Q8TAX7,Q8WTT0,Q8WXI7,Q8WXI8,Q96DR8,Q99102,Q99IB8,Q9H195,Q9H3R2,Q9HC84,Q9UKN1,Q9ULY5,Q9ULY5,Q9UMR7
R-HSA-9820962	Assembly and release of respiratory syncytial virus (RSV) virions	P03418,P03420,P03421,P03423-1,P04545,P07900,P08238,P0DOE5-1,P0DOE7,P28887
R-HSA-9828642	Respiratory syncytial virus genome transcription	P03418,P03421,P04545,P11142,P28887,P88812
R-HSA-9828721	Translation of respiratory syncytial virus mRNAs	P03418,P03420,P03421,P03423-1,P03423-2,P04543,P04545,P0DOE5-1,P0DOE5-2,P0DOE7,P0DOE9,P28887,P88812
R-HSA-9834752	Respiratory syncytial virus genome replication	P03418,P03421,P04545,P07900,P08238,P28887,P88812
R-HSA-168255	Influenza Infection	P03428,P03431,P03433,P03452,P03466,P03468,P03485,P03508,P06821
R-HSA-168275	Entry of Influenza Virion into Host Cell via Endocytosis	P03428,P03431,P03433,P03452,P03466,P03468,P03485,P03508,P06821,P09496,Q00610
R-HSA-168288	Fusion of the Influenza Virion to the Host Cell Endosome	P03428,P03431,P03433,P03452,P03466,P03468,P03485,P03508,P06821
R-HSA-168298	Release	P03428,P03431,P03433,P03452,P03466,P03468,P03485,P03508,P06821
R-HSA-168302	Budding	P03428,P03431,P03433,P03452,P03466,P03468,P03485,P03508,P06821
R-HSA-168303	Packaging of Eight RNA Segments	P03428,P03431,P03433,P03452,P03466,P03468,P03485,P03508,P06821
R-HSA-168330	Viral RNP Complexes in the Host Cell Nucleus	P03428,P03431,P03433,P03466,P03485,P03508,P0DMV8
R-HSA-168336	Uncoating of the Influenza Virion	P03428,P03431,P03433,P03452,P03466,P03468,P03485,P03508,P06821
R-HSA-192814	vRNA Synthesis	P03428,P03431,P03433,P03466,P09874
R-HSA-192823	Viral mRNA Translation	P03428,P03431,P03433,P03452,P03466,P03468,P03485,P03496,P03508,P05386,P05387,P05388,P06821,P08708,P08865,P0C0U1,P15880,P18077,P18124,P18621,P22090,P23396,P25398,P26373,P27635,P30050,P32969,P35268,P36578,P39019,P39023,P40429,P42677,P42766,P46776,P46777,P46778,P46779,P46781,P46782,P46783,P47914,P49207,P50914,P60866,P61247,P61254,P61313,P61353,P61513,P61927,P62081,P62241,P62244,P62249,P62263,P62266,P62269,P62273,P62277,P62280,P62424,P62701,P62750,P62753,P62829,P62841,P62847,P62851,P62854,P62857,P62861,P62888,P62891,P62899,P62906,P62910,P62913,P62917,P62945,P62979,P62987,P63173,P63220,P83731,P83881,P84098,Q02543,Q02878,Q07020,Q12849,Q13217,Q6P5R6,Q71UM5,Q8TD47,Q92901,Q969Q0,Q96EH5,Q96L21,Q9UNX3,Q9Y3U8
R-HSA-192869	cRNA Synthesis	P03428,P03431,P03433,P03466
R-HSA-168316	Assembly of Viral Components at the Budding Site	P03452,P03466,P03468,P03485,P06821,P27797,P27824
R-HSA-168874	Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus	P03452,P03468,P06821
R-HSA-168888	Inhibition of IFN-beta	P03496
R-HSA-169131	Inhibition of PKR	P03496,P19525
R-HSA-9686347	Microbial modulation of RIPK1-mediated regulated necrosis	P03496,P07385,P08543,P15059,P16767,P59632,Q13546,Q14790,Q8NB16,Q9Y572
R-HSA-9708296	tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis	P03950,Q9BQ52,Q9UPY3,Q9UPY3
R-HSA-9918443	Defective visual phototransduction due to OPN1SW loss of function	P03999
R-HSA-9918450	Defective visual phototransduction due to OPN1LW loss of function	P04000
R-HSA-9918436	Defective visual phototransduction due to OPN1MW loss of function	P04001
R-HSA-5674499	Negative feedback regulation of MAPK pathway	P04049,P15056,P27361,P28482,P36507,Q02750
R-HSA-444473	Formyl peptide receptors bind formyl peptides and many other ligands	P04083,P05067,P0DJI8,P21462,P25089,P25090,P55773-2,Q8IVG9,Q9NRV9
R-HSA-444821	Relaxin receptors	P04090,P51460,Q8TDU9,Q8WXD0,Q8WXF3,Q9HBX9,Q9NSD7,Q9Y5Q6
R-HSA-3000484	Scavenging by Class F Receptors	P04114,P04114,P07900,P07900,P18195,P18195,P27797,P27797,Q14162,Q14162,Q92598,Q92598,Q9Y4L1,Q9Y4L1
R-HSA-3000497	Scavenging by Class H Receptors	P04114,P09486,Q8WWQ8,Q9NY15
R-HSA-432142	Platelet sensitization by LDL	P04114,P09769,P16284,P29350,P30153,P30154,P47712,P62714,P67775,Q06124,Q13362,Q14114,Q14738,Q15172,Q15173,Q16537,Q16539
R-HSA-8964041	LDL remodeling	P04114,P07237,P08519,P11597,P55157,Q13790
R-HSA-192456	Digestion of dietary lipid	P04118,P07098,P16233,P19835,P54315,P54317,Q17RR3
R-HSA-8939246	RUNX1 regulates transcription of genes involved in differentiation of myeloid cells	P04141,P05771,P17931,Q01196,Q13950-1,Q13950-2,Q13951,Q92793
R-HSA-8849473	PTK6 Expression	P04150,Q13882,Q16665,Q8IZL8,Q99814
R-HSA-9768777	Regulation of NPAS4 gene transcription	P04150,P11831,Q13127,Q9Y2W7
R-HSA-9839394	TGFBR3 expression	P04198,P08047,P10276,P13349,P15172,P15173,P15884,P15923,P19793,P23409,P84022,Q03167,Q09472,Q13485,Q8NDV7,Q99081,Q9BXK1,Q9H9G7,Q9HCE1,Q9HCJ0,Q9HCK5,Q9NRZ9,Q9UKV8,Q9UL18,Q9UPQ9
R-HSA-879415	Advanced glycosylation endproduct receptor signaling	P04271,P04271,P05067,P05067,P09429,P09429,P0DJI8,P0DJI8,P14314,P17931,P27361,P28482,P39656,P47755,P52907,P80511,P80511,Q15109,Q15109
R-HSA-171286	Synthesis and processing of ENV and VPU	P04578,P05919,P09958
R-HSA-175474	Assembly Of The HIV Virion	P04578,P04585,P04591,P04601,P04618,P05919,P0CG47,P0CG48,P62937,P62979,P62987,P69723,P69726
R-HSA-162585	Uncoating of the HIV Virion	P04585,P04591,P04601,P04618,P05919,P62937,P69723,P69726
R-HSA-162594	Early Phase of HIV Life Cycle	P04585,P04591,P04618,P05919,P18858,P39748,P62937,P69723,P69726
